offset,modbus_address,name,value,count,type,size,scale_factor,units,rw_access,mandatory,static,label,description
,40556,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
249,40559,CellV,,,uint16,,v | c,,,:cell Vonage | (Cell Temperature,,Cell Voltage,Cell terminal voltage
,40561,ID,,,uint16,,,,,S,,Model ID,Model identifier
,40571,,,,uint16,,,,,Module Voltage,,I Voltage of the,
,40573,CellV,,,uint16,,,,,Max Cell Voltage,,Cell Voltage,Cell terminal voltage
,40574,CellV,,,uint16,,,,,Min Cell Voltage | Max Cell Voltage Cell,,Cell Voltage,Cell terminal voltage
,40576,CellV,,,uint16,,,,,Average Cell Voltage | Min Cell Voltage Cell,,Cell Voltage,Cell terminal voltage
,40578,CellTmp,,,uint16,,,,,Min Cell Temperature | Min Cell Temperature Cell | Max Cell Temperature | Max Cell Temperature Cell,,Cell Temperature,Cell temperature
,40585,CellTmp,,,string,,,,,Average Cell Temperature | Serial Numoer | Balanced Cell Count,,Cell Temperature,Cell temperature
,40601,SoH SF | DoD SF,,,sunssf,,,,,,,,Scale factor tor module state of health | Scale factor for module depth of discharge
,40604,CellV,,,sunssf,,,,,,,Cell Voltage,Cell terminal voltage
,40605,Tmp_SF | lithium-ion-module.lithium-ion-module-cell,,,sunssf,,,,,,,,Scale factor for module temperature
,40606,CellV,1,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,40607,CellTmp,,,int16,,c,,,Cell Temperature,,Cell Temperature,Cell temperature
,40608,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
358 | 359 | 360,40610,CellV,,,bitfield32,,,v,,Cell Status | Cell Voltage,,Cell Voltage,Cell terminal voltage
,40611,CellTmp,,,int16,,,,,Cell temperature,,Cell Temperature,Cell temperature
,40612,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,40614,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,40615,CellTmp,,,int16,,c,,,Cell Temperature,,Cell Temperature,Cell temperature
327 40637,40616,CellTmp,,,bitfield32,,c,,,Cen Temperature | Cell Status,,Cell Temperature,Cell temperature
,40618,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
329,40619,CellTmp,,,int16,,c,,,Cell Temperature | Cell Voltage,,Cell Temperature,Cell temperature
,40620,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
,40622,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,40623,CellTmp,,,int16,,c,,,Cell Temperature,,Cell Temperature,Cell temperature
,40624,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
31S,40625,,,,,,,,,,,Status of the cell 15,
316,40626,CellV,,,uint16,,v,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
,40627,CellTmp,,,int16,,c,,,Cell Temperature,,Cell Temperature,Cell temperature
318,40628,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
319,40629,,,,,,,,,,,Status of the ce116,
320,40630,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
321,40631,CellTmp,,,int16,,c,,,Cell Temperature,,Cell Temperature,Cell temperature
322,40632,CellSt,,,bitfield32,,,,,Cen Status,,Cell Status,Status of the cell
,40634,CellV,,,uint16,,v,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
327 40637,40638,CellV,,,uint16,,,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
336 | 337,40641,CellV,,,bitfield32,,,c,,Cen Status | Cell Temperature | Cell Status,,Cell Voltage,Cell terminal voltage
,40642,CellV,,,uint16,,,c,,Cel I Temperature,,Cell Voltage,Cell terminal voltage
,40644,CellTmp,,,bitfield32,,,,,Cell Voltage | Cell Status,,Cell Temperature,Cell temperature
338,40648,CellSt,,,bitfield32,,,,,Cell Status,,Cell Status,Status of the cell
340 | 341,40650,CellV,,,uint16,,,c,,Cell Voltage | Cell Temperature,,Cell Voltage,Cell terminal voltage
341 | 342,40652,CellTmp,,,bitfield32,,,,,Cell Status,,Cell Temperature,Cell temperature
343 | 344,40653,CellV,,,uint16,,SF,,,Cell Voltage,,Cell Voltage,Cell terminal voltage
345 | 346,40656,CellTmp,,,int16,,,c,,Cell Temperature | Cell Status,,Cell Temperature,Cell temperature
348,40658,CellV,,,uint16,,,v,,Cell Voltage,,Cell Voltage,Cell terminal voltage
